DateClean,cafe,SubTotal,Items,Proj_Calories,Count,Bottled_LC,Bottled_HC,LC%,TotalSales,DateClean,cafe,Day_of_Week,Week,Treatment,Coupon,Week_of_Qtr,2,3,4,5,1,Cal_p_Dollar
2014-03-06,GCIS,4.517885462555072,1.6475770925110131,356.0059072013968,227,37,34,0.5211267605633803,1025.5600000000013,2014-03-06,GCIS,4,2014_Winter_W8,BL2,0,8,0,0,1,0,0,78.79923255072055
2014-03-06,Harris,3.4935204081632696,1.4846938775510203,229.60430329045832,196,26,20,0.5652173913043478,684.7300000000008,2014-03-06,Harris,4,2014_Winter_W8,BL2,0,8,0,0,1,0,0,65.72290310769175
2014-03-06,Law,2.9669556025370056,1.4207188160676534,189.19581029924248,473,89,48,0.6496350364963503,1403.3700000000038,2014-03-06,Law,4,2014_Winter_W8,BL2,0,8,0,0,1,0,0,63.76765804566256
2014-03-06,Stuart,4.536275659824054,1.5542521994134897,331.53328500815275,341,40,56,0.4166666666666667,1546.8700000000024,2014-03-06,Stuart,4,2014_Winter_W8,BL2,0,8,0,0,1,0,0,73.08490706250682
2014-03-07,GCIS,4.7207650273224075,1.639344262295082,352.4600781408678,183,20,29,0.40816326530612246,863.9000000000005,2014-03-07,GCIS,5,2014_Winter_W8,BL2,0,8,0,0,0,1,0,74.6616440557689
2014-03-07,Harris,3.944711538461537,1.4903846153846154,273.12692668838747,104,15,18,0.45454545454545453,410.24999999999983,2014-03-07,Harris,5,2014_Winter_W8,BL2,0,8,0,0,0,1,0,69.23875777109642
2014-03-07,Law,3.2519174757281637,1.4174757281553398,218.59804614319694,412,76,34,0.6909090909090909,1339.7900000000034,2014-03-07,Law,5,2014_Winter_W8,BL2,0,8,0,0,0,1,0,67.22127722329388
2014-03-07,Stuart,4.670828402366866,1.6923076923076923,317.43722057403687,169,18,26,0.4090909090909091,789.3700000000003,2014-03-07,Stuart,5,2014_Winter_W8,BL2,0,8,0,0,0,1,0,67.96165331468413
2014-03-10,GCIS,4.371000000000006,1.5588235294117647,314.376180824301,170,19,24,0.4418604651162791,743.070000000001,2014-03-10,GCIS,1,2014_Winter_W9,BL2,0,9,0,0,0,0,1,71.92317108769174
2014-03-10,Harris,3.9600537634408624,1.510752688172043,281.52380697512586,186,30,22,0.5769230769230769,736.5700000000004,2014-03-10,Harris,1,2014_Winter_W9,BL2,0,9,0,0,0,0,1,71.09090527359706
